problem_id,difficulty,category,model,pass_rate,first_success,avg_tokens,avg_latency
humaneval_010,easy,math,gpt,100.0,1.0,297.8,3.305913496017456
humaneval_010,easy,math,gemini,100.0,1.0,271.0,18.01570930480957
humaneval_010,easy,math,llama,100.0,1.0,292.0,0.28566436767578124
humaneval_010,easy,math,qwen,80.0,1.0,913.4,2.6718146800994873
humaneval_005,easy,lists,gpt,100.0,1.0,336.6,2.0200397968292236
humaneval_005,easy,lists,gemini,100.0,1.0,248.0,0.9111343860626221
humaneval_005,easy,lists,llama,100.0,1.0,364.6,0.3534098625183105
humaneval_005,easy,lists,qwen,0.0,,1209.0,2.9917479038238524
humaneval_020,medium,strings,gpt,100.0,1.0,465.8,3.51689076423645
humaneval_020,medium,strings,gemini,0.0,,260.0,0.7955618858337402
humaneval_020,medium,strings,llama,100.0,1.0,485.0,0.4286932945251465
humaneval_020,medium,strings,qwen,0.0,,1243.0,3.5847643852233886
humaneval_055,hard,algorithms,gpt,100.0,1.0,687.4,4.871005201339722
humaneval_055,hard,algorithms,gemini,0.0,,687.0,11.283185625076294
humaneval_055,hard,algorithms,llama,0.0,,1145.8,0.8145378112792969
humaneval_055,hard,algorithms,qwen,0.0,,1480.0,2.8291447162628174
humaneval_049,hard,lists,gpt,100.0,1.0,407.0,2.2819798469543455
humaneval_049,hard,lists,gemini,100.0,1.0,304.6,5.16207218170166
humaneval_049,hard,lists,llama,0.0,,451.0,0.41280174255371094
humaneval_049,hard,lists,qwen,0.0,,1241.0,2.5985844135284424
humaneval_053,hard,math,gpt,0.0,,504.6,3.8774625301361083
humaneval_053,hard,math,gemini,0.0,,657.2,18.201453304290773
humaneval_053,hard,math,llama,0.0,,606.4,0.46413602828979494
humaneval_053,hard,math,qwen,0.0,,1337.0,3.5209071159362795
